Source,Target,Weight
167154784,178983686,134
167154790,178983772,12
167154790,178983763,135
167154802,298543373,132
167154802,271883825,267
167154802,6113619553,29
167154820,167154836,30
167154820,263703023,211
167154836,263703022,214
171221810,171222080,8
171221810,3284866007,118
171221810,4270656407,87
171221810,232428892,266
171221838,263703016,25
171221838,171221854,117
171221838,171222123,20
171221838,4619793875,40
171221854,244401186,234
171221854,304056195,226
171221854,171221906,79
171221854,171222110,140
171221906,171222058,31
171221906,263703016,28
171221911,171222074,36
171221911,171222123,27
171221911,263703016,19
171221911,5726584649,49
171221958,171221997,143
171221958,171222315,289
171221958,9942448568,210
171221958,7284784239,216
171221958,697103168,114
171221997,171222170,28
171221997,251781054,243
171221997,171222250,23
171222058,5726584649,11
171222058,263703016,26
171222063,257972488,119
171222063,5726584649,106
171222063,171222110,69
171222074,1305745171,34
171222074,171222123,24
171222080,232428869,120
171222080,300461040,116
171222110,4270656407,125
171222119,349310410,179
171222119,331339970,168
171222119,4619793913,24
171222123,4619793913,32
171222123,4619793875,32
171222123,12098980265,36
171222170,171222250,26
171222170,697103737,137
171222170,9124712157,40
171222170,251781055,262
171222250,697103168,19
171222250,697103611,23
171222315,171222322,78
171222315,248542169,163
171222322,171222341,65
171222322,665618030,92
171222341,665618024,69
171841155,171841161,21
171841155,243793646,51
171841155,173359013,18
171841155,243793653,178
171841161,171841192,15
171841161,171841182,84
171841161,4615630581,253
171841175,171841182,58
171841175,173944872,98
171841182,171841192,85
171841192,173359013,22
171841195,2127548138,163
171841199,173944872,159
171841199,2127548138,155
173178131,311408076,44
173178131,173178147,51
173178131,185460832,41
173178131,185460835,41
173178147,185460797,40
173178147,185460832,28
173178316,2782248632,37
173178316,244220327,46
173178316,1989017447,139
173178337,2966062118,146
173178337,3700135403,45
173178343,1997221303,85
173178343,173178350,89
173178343,2966062118,109
173178350,271936869,205
173178350,243789436,98
173178350,2987533512,66
173178359,1986129521,108
173178359,3594098193,26
173178359,9798273420,38
173178417,173178439,189
173178417,267903236,85
173178424,267903236,8
173178424,173178439,90
173178424,173178431,78
173178431,185460728,99
173178460,173178467,44
173178545,173178557,154
173178545,1986129296,29
173178557,173178563,106
173178557,185460478,31
173328868,271497561,127
173328868,8001157243,30
173359006,173359019,21
173359006,243793653,82
173359006,1774459606,79
173359006,186243349,138
173359013,243793654,174
173359013,1943278224,315
173359019,173945058,359
173359019,178983916,137
173359019,243793654,73
173359047,3216661517,19
173359047,4391423421,67
173359047,178983653,142
173359047,263703023,92
173359061,3767682284,301
173359061,298543316,258
173359061,184314600,166
173359061,184314803,131
173359103,178983686,194
173359103,659866837,21
173359124,173374126,214
173359124,173374115,145
173359124,173359129,113
173359124,659866837,256
173359129,173659988,227
173359129,173359132,62
173359132,173374115,189
173359132,173359134,57
173359134,173359135,122
173359134,173659991,222
173359135,173660007,211
173359135,173359149,271
173359149,243092080,283
173359149,243092059,216
173359149,173359154,128
173359154,173359159,9
173359154,243092063,147
173359159,173359163,8
173359159,243092080,187
173359163,243092062,146
173359163,173359167,116
173359167,243092066,216
173359167,2286786474,148
173359204,173359211,145
173359204,1857877642,154
173374100,173374107,93
173374100,173944826,190
173374107,173374111,209
173374107,184190941,131
173374111,173944844,104
173374111,173374115,130
173374115,173944774,158
173374126,173374135,23
173374126,178983759,107
173374135,173659988,103
173618352,1857949382,122
173618352,1968485401,158
173659988,173659991,119
173659991,173660001,113
173659991,3133074765,175
173660001,173660007,8
173660001,173660051,50
173660007,173660046,58
173660046,173660051,15
173660046,173660057,32
173660051,173660061,50
173944766,173944774,135
173944766,178983627,114
173944766,173944841,151
173944774,173944844,137
173944812,173945068,229
173944812,173944816,121
173944816,178983955,81
173944816,178983931,51
173944821,178983951,95
173944821,178983921,101
173944821,184190929,29
173944821,178983931,97
173944826,178983955,21
173944841,173944844,108
173944841,178983951,112
173944841,184190941,97
173944850,178983754,10
173944850,186243304,87
173944850,3886160175,27
173944856,173944861,133
173944856,173944872,155
173944856,2127548138,161
173944861,173944862,13
173944861,173944867,20
173944862,243092546,50
173944862,173944867,17
173944897,243793058,139
173944897,4615630581,182
173944926,9631155185,188
173944926,2999461829,154
173944953,173944957,18
173944953,9456750191,215
173944957,1369428359,198
173944966,173944975,48
173944966,173945052,122
173944975,173945033,112
173944975,173944977,109
173944977,173945001,111
173944977,9527020704,121
173944979,9527020704,15
173944979,173944994,157
173944979,186243391,91
173944981,186243391,14
173944981,1986129303,38
173944981,1986129346,38
173944994,3888196319,124
173945001,3776319808,72
173945001,173945033,110
173945001,173945007,125
173945007,2356399150,85
173945007,9527020704,109
173945033,173945039,129
173945058,1943278224,26
173945058,173945081,21
173945068,173945073,32
173945073,173945081,11
173945073,178983912,101
173945081,1943278224,34
177466886,177466892,49
177466886,177466889,64
177466892,177466896,65
177466910,177466912,18
177466912,177466916,55
177466919,177466921,66
177710517,177710539,193
177710517,177710666,99
177710517,7425755433,436
177710539,177710607,151
177710607,177710703,154
177710607,177710672,164
177710607,177710624,308
177710624,177710632,99
177710632,177710635,339
177710632,177710672,307
177710635,4956331700,9
177710666,177710672,15
177710666,177710697,141
177710703,6475570221,101
177710758,2485592087,122
177710758,243091096,105
177710758,271901653,235
177710765,236282309,99
177710765,177710771,91
177710765,243091096,124
177710771,2358270371,107
177710793,2358202555,12
177710793,2358270378,37
177710793,243091099,63
177710801,2358202556,75
177710801,243091097,120
177710801,177710804,116
177710804,369593366,13
177710804,4634751635,84
178983627,659866880,7
178983627,3886160177,185
178983630,659866880,5
178983630,3886160175,183
178983644,178983648,37
178983644,2662907068,28
178983648,178983649,123
178983648,178983657,263
178983649,178983652,26
178983649,178983715,21
178983652,178983653,165
178983652,178983715,30
178983653,2265840610,23
178983657,345784054,128
178983659,178983667,115
178983659,178983718,237
178983667,345784054,8
178983667,178983715,175
178983686,178983690,28
178983690,178983690,156
178983690,178983712,121
178983712,178983763,26
178983712,184190703,75
178983718,2244756208,114
178983718,354688470,19
178983718,2265840610,87
178983754,3886160177,28
178983754,184190929,198
178983754,178983918,150
178983759,178983898,234
178983759,184190703,47
178983763,178983902,256
178983772,178983774,137
178983772,184190886,35
178983774,178983777,125
178983774,178983837,133
178983777,178983781,118
178983777,178983871,137
178983781,178983869,141
178983788,178983794,94
178983794,178983797,84
178983797,178983800,19
178983797,178983803,231
178983800,184190864,174
178983800,178983811,231
178983803,178983811,19
178983803,178983805,14
178983805,178983808,19
178983808,178983811,16
178983808,299823005,80
178983821,178983830,166
178983821,302099492,163
178983821,300454996,91
178983825,178983828,158
178983825,571548647,178
178983825,300454996,90
178983825,300455001,126
178983828,178983830,175
178983828,248215250,26
178983828,271883818,224
178983837,178983841,12
178983837,178983871,103
178983841,178983848,117
178983841,178983856,161
178983848,6113619553,152
178983848,178983852,147
178983852,178983856,117
178983852,3284135585,141
178983856,178983861,124
178983861,178983869,70
178983861,3284135608,37
178983869,178983871,113
178983898,184190691,47
178983902,184190691,98
178983902,184190917,115
178983910,178983912,213
178983910,178983918,142
178983910,178983916,234
178983912,178983921,118
178983916,186243349,21
178983916,186243310,39
178983918,184190923,196
178983918,186243296,159
178983921,178983931,101
178983921,184190923,28
178983943,4515757365,5
178983943,178983946,41
178983943,178983955,64
178983946,4515020697,64
178983946,184190941,121
178983951,178983959,41
178983959,4515020697,22
178983959,4515020696,20
179004691,184314797,25
179004691,2662907027,170
179004691,179004693,170
179004693,9312986086,185
179004693,184314786,128
184190691,184190703,241
184190857,184314623,474
184190857,299823021,203
184190864,184314609,303
184190864,184190870,86
184190870,299823021,214
184190870,3748376178,31
184190886,3151673690,189
184190886,6113619553,226
184190917,3151673690,44
184190917,6113619553,18
184190923,184190929,110
184190960,677523385,10
184190960,677524574,53
184190960,184314589,154
184190960,677525315,71
184190973,5904840520,16
184190973,2817508866,25
184190973,3706964315,17
184190973,639696849,21
184190973,5904840020,14
184191054,184314589,222
184191054,6125361832,143
184191064,2817508866,158
184191064,321988768,146
184314504,1986129302,53
184314543,184314568,127
184314543,184314579,29
184314543,321988768,51
184314568,2001023089,76
184314568,321988770,72
184314579,9709743562,12
184314579,4994967764,10
184314589,243879833,137
184314600,184314754,285
184314600,184314792,121
184314600,2825691257,156
184314609,2276895473,15
184314609,677523386,194
184314623,184314632,21
184314623,184314656,11
184314623,677523386,340
184314632,184314653,11
184314632,3694971825,416
184314632,244400387,458
184314645,3694971825,2
184314645,302921232,50
184314645,3301198432,42
184314645,302921231,43
184314653,184314656,22
184314653,263689149,302
184314653,302921230,376
184314656,298543316,342
184314656,3767682284,149
184314669,297067916,88
184314669,4586918816,16
184314669,304230362,80
184314669,304230334,272
184314675,184314682,19
184314675,297067900,95
184314682,298543327,32
184314688,184314725,15
184314688,184314692,53
184314688,268550131,176
184314688,296628946,193
184314692,184314725,57
184314692,302921232,131
184314706,263689148,165
184314706,3301198432,153
184314706,263689147,236
184314725,296628939,187
184314725,297067841,248
184314754,3767682284,160
184314754,3419923317,158
184314772,3159731120,23
184314772,676864542,26
184314772,3702694532,18
184314783,9312986086,421
184314783,304383957,95
184314783,676866950,72
184314786,1943346490,85
184314786,1968485443,17
184314792,184314803,165
184314792,3704115939,169
184314797,3704157348,19
184314797,3704115939,32
184314797,3216613327,165
184314803,184314807,49
184314807,2276895473,321
184314807,677524699,98
185460482,185460782,227
185460482,185460489,110
185460489,185460493,165
185460489,314063829,154
185460489,185460735,113
185460493,185460496,118
